read;ins;del;sub
1;0.0026;0.004;0.0077
2;0.0029;0.0045;0.0086
3;0.0012;0.0019;0.0037
4;0.001;0.0015;0.003
5;0.0058;0.0091;0.0175
6;0.0028;0.0043;0.0083
7;0.0012;0.0019;0.0037
8;0.001;0.0015;0.0029
9;0.0034;0.0053;0.0103
10;0.0053;0.0083;0.016
11;0.0043;0.0067;0.0129
12;0.0175;0.0273;0.0526
13;0.0045;0.007;0.0136
14;0.0029;0.0045;0.0088
15;0.0026;0.004;0.0077
16;0.0069;0.0107;0.0207
17;0.0014;0.0022;0.0043
18;0.002;0.0032;0.0061
19;0.0044;0.0068;0.0131
20;0.0019;0.003;0.0057
21;0.0072;0.0112;0.0217
22;0.0021;0.0033;0.0064
23;0.0023;0.0035;0.0068
24;0.0053;0.0083;0.016
25;0.0048;0.0075;0.0144
26;0.0059;0.0092;0.0177
27;0.0015;0.0024;0.0046
28;0.0069;0.0107;0.0207
29;0.0022;0.0034;0.0066
30;0.0034;0.0053;0.0102
31;0.0042;0.0066;0.0126
32;0.0007;0.0011;0.0022
33;0.0041;0.0063;0.0122
34;0.0011;0.0017;0.0034
35;0.0012;0.0019;0.0037
36;0.0076;0.0118;0.0227
37;0.0017;0.0027;0.0052
38;0.0029;0.0046;0.0088
39;0.0014;0.0021;0.0041
40;0.0044;0.0069;0.0133
41;0.0029;0.0045;0.0087
42;0.0018;0.0028;0.0054
43;0.0018;0.0028;0.0054
44;0.015;0.0233;0.0449
45;0.0039;0.006;0.0117
46;0.0018;0.0029;0.0055
47;0.0018;0.0028;0.0054
48;0.0027;0.0042;0.008
49;0.0044;0.0068;0.0132
50;0.0031;0.0048;0.0093
51;0.0124;0.0193;0.0371
52;0.0009;0.0013;0.0026
53;0.003;0.0047;0.009
54;0.0015;0.0024;0.0046
55;0.0054;0.0083;0.0161
56;0.0105;0.0163;0.0315
57;0.0025;0.004;0.0076
58;0.0036;0.0056;0.0107
59;0.0047;0.0073;0.014
60;0.0025;0.004;0.0076
61;0.0065;0.01;0.0194
62;0.0003;0.0005;0.0009
63;0.003;0.0046;0.0089
64;0.0029;0.0045;0.0087
65;0.0089;0.0138;0.0266
66;0.0094;0.0147;0.0283
67;0.003;0.0047;0.009
68;0.0034;0.0053;0.0102
69;0.0042;0.0065;0.0126
70;0.0079;0.0123;0.0236
71;0.0022;0.0035;0.0067
72;0.0025;0.0038;0.0074
73;0.0044;0.0069;0.0132
74;0.0017;0.0026;0.005
75;0.0014;0.0022;0.0043
76;0.0059;0.0092;0.0177
77;0.0026;0.004;0.0077
78;0.0021;0.0033;0.0064
79;0.0011;0.0018;0.0034
80;0.0046;0.0071;0.0137
81;0.0038;0.0059;0.0115
82;0.0013;0.002;0.0038
83;0.001;0.0015;0.0029
84;0.0031;0.0048;0.0093
85;0.0025;0.0038;0.0074
86;0.002;0.0032;0.0061
87;0.0003;0.0004;0.0008
88;0.0018;0.0028;0.0055
89;0.0124;0.0193;0.0373
90;0.0031;0.0049;0.0094
91;0.0056;0.0087;0.0168
92;0.0032;0.0049;0.0095
93;0.0021;0.0033;0.0064
94;0.0008;0.0013;0.0025
95;0.0024;0.0037;0.0071
96;0.001;0.0015;0.0029
97;0.0022;0.0035;0.0067
98;0.0075;0.0117;0.0225
99;0.0026;0.0041;0.0078
100;0.007;0.0109;0.021
101;0.0014;0.0021;0.0041
102;0.0074;0.0115;0.0221
103;0.0056;0.0087;0.0167
104;0.0055;0.0086;0.0166
105;0.002;0.003;0.0059
106;0.0025;0.0039;0.0076
107;0.0021;0.0033;0.0064
108;0.0039;0.0061;0.0117
109;0.0048;0.0074;0.0143
110;0.0024;0.0038;0.0073
111;0.0049;0.0077;0.0148
112;0.0073;0.0114;0.0219
113;0.0017;0.0026;0.005
114;0.0061;0.0094;0.0182
115;0.0068;0.0106;0.0204
116;0.0019;0.003;0.0057
117;0.0011;0.0016;0.0032
118;0.0094;0.0146;0.0281
119;0.0041;0.0063;0.0122
120;0.0023;0.0035;0.0068
121;0.0029;0.0045;0.0088
122;0.0041;0.0064;0.0124
123;0.0073;0.0114;0.022
124;0.0122;0.0189;0.0365
125;0.0139;0.0217;0.0418
126;0.0045;0.0071;0.0136
127;0.0078;0.0121;0.0233
128;0.0019;0.003;0.0057
129;0.0033;0.0051;0.0098
130;0.0057;0.0089;0.0172
131;0.0016;0.0025;0.0048
132;0.0015;0.0023;0.0044
133;0.0051;0.008;0.0154
134;0.0034;0.0053;0.0102
135;0.003;0.0046;0.0089
136;0.0025;0.0039;0.0076
137;0.0076;0.0118;0.0227
138;0.0138;0.0215;0.0414
139;0.0178;0.0277;0.0533
140;0.0043;0.0067;0.0129
141;0.004;0.0062;0.0119
142;0.0067;0.0104;0.0201
143;0.0018;0.0028;0.0054
144;0.0086;0.0133;0.0257
145;0.0025;0.0039;0.0076
146;0.0088;0.0137;0.0265
