read;ins;del;sub
1;0.0287;0.0314;0.0296
2;0.0208;0.0228;0.0215
3;0.0312;0.0341;0.0322
4;0.0227;0.0248;0.0234
5;0.0376;0.0411;0.0388
6;0.0399;0.0437;0.0412
7;0.0259;0.0284;0.0267
8;0.0323;0.0354;0.0334
9;0.0433;0.0474;0.0447
10;0.0835;0.0914;0.0862
11;0.0659;0.0721;0.0679
12;0.0362;0.0396;0.0373
13;0.0491;0.0538;0.0507
14;0.018;0.0197;0.0186
15;0.0753;0.0824;0.0777
16;0.0494;0.0541;0.051
17;0.0424;0.0464;0.0437
18;0.0337;0.0368;0.0347
19;0.0174;0.019;0.0179
20;0.0331;0.0363;0.0342
21;0.022;0.024;0.0227
22;0.0571;0.0625;0.0589
23;0.0276;0.0302;0.0285
24;0.0412;0.0451;0.0425
25;0.0202;0.0221;0.0208
26;0.0548;0.0599;0.0565
27;0.0393;0.043;0.0406
28;0.0208;0.0228;0.0215
29;0.0186;0.0204;0.0192
30;0.0313;0.0342;0.0322
31;0.0694;0.076;0.0716
32;0.0276;0.0302;0.0285
33;0.0384;0.042;0.0396
34;0.029;0.0318;0.03
35;0.043;0.047;0.0443
36;0.0315;0.0344;0.0324
37;0.0415;0.0454;0.0428
38;0.0292;0.032;0.0301
39;0.0482;0.0527;0.0497
40;0.0386;0.0422;0.0398
41;0.0771;0.0844;0.0795
42;0.0249;0.0272;0.0257
43;0.0286;0.0313;0.0295
44;0.0283;0.0309;0.0291
45;0.0262;0.0287;0.0271
46;0.0192;0.021;0.0198
47;0.062;0.0678;0.0639
48;0.0456;0.0498;0.047
49;0.0656;0.0717;0.0676
50;0.0496;0.0543;0.0512
51;0.0545;0.0596;0.0562
52;0.0244;0.0267;0.0252
53;0.0149;0.0162;0.0153
54;0.0315;0.0345;0.0325
55;0.0467;0.051;0.0481
56;0.0255;0.0279;0.0263
57;0.0345;0.0378;0.0356
58;0.0272;0.0298;0.0281
59;0.0211;0.0231;0.0218
60;0.0716;0.0783;0.0738
61;0.0109;0.012;0.0113
62;0.046;0.0503;0.0474
63;0.0813;0.089;0.0839
64;0.0255;0.0279;0.0263
65;0.0272;0.0297;0.028
66;0.0216;0.0236;0.0222
67;0.015;0.0164;0.0154
68;0.0186;0.0203;0.0191
69;0.0335;0.0366;0.0345
70;0.0144;0.0157;0.0148
71;0.0177;0.0194;0.0182
72;0.0253;0.0277;0.0261
73;0.0305;0.0333;0.0314
74;0.0273;0.0298;0.0281
75;0.0176;0.0193;0.0182
76;0.0224;0.0245;0.0231
77;0.048;0.0525;0.0495
78;0.0507;0.0554;0.0523
79;0.0258;0.0283;0.0266
80;0.0262;0.0287;0.027
81;0.0307;0.0335;0.0316
82;0.0237;0.0259;0.0244
83;0.0356;0.0389;0.0367
84;0.0356;0.039;0.0368
