read;ins;del;sub
1;0.0547;0.082;0.0586
2;0.0274;0.0411;0.0294
3;0.0292;0.0439;0.0313
4;0.0218;0.0326;0.0233
5;0.0316;0.0474;0.0338
6;0.0434;0.065;0.0465
7;0.0306;0.0459;0.0328
8;0.0406;0.0609;0.0435
9;0.0491;0.0737;0.0526
10;0.0316;0.0474;0.0339
11;0.014;0.0211;0.015
12;0.025;0.0375;0.0268
13;0.0382;0.0574;0.041
14;0.0293;0.044;0.0314
15;0.0322;0.0484;0.0345
16;0.0557;0.0835;0.0596
17;0.0551;0.0827;0.0591
18;0.0233;0.0349;0.0249
19;0.038;0.057;0.0407
20;0.0236;0.0355;0.0253
21;0.0383;0.0575;0.0411
22;0.0451;0.0677;0.0484
23;0.0393;0.0589;0.0421
24;0.0669;0.1004;0.0717
25;0.0558;0.0837;0.0598
26;0.0252;0.0378;0.027
27;0.0294;0.0442;0.0315
28;0.0711;0.1067;0.0762
29;0.0451;0.0677;0.0483
30;0.0587;0.088;0.0628
31;0.0243;0.0364;0.026
32;0.0226;0.034;0.0243
33;0.0541;0.0812;0.058
34;0.063;0.0945;0.0675
35;0.0154;0.0231;0.0165
36;0.0339;0.0509;0.0363
37;0.0391;0.0587;0.0419
38;0.0342;0.0513;0.0367
39;0.0411;0.0616;0.044
40;0.0336;0.0504;0.036
41;0.0427;0.064;0.0457
42;0.0468;0.0702;0.0502
43;0.0233;0.035;0.025
44;0.0466;0.0699;0.0499
45;0.0534;0.0801;0.0572
46;0.0262;0.0393;0.028
47;0.0404;0.0606;0.0433
48;0.0551;0.0827;0.059
49;0.0658;0.0987;0.0705
50;0.0325;0.0488;0.0349
51;0.0308;0.0461;0.033
52;0.0339;0.0509;0.0364
53;0.028;0.042;0.03
54;0.0444;0.0666;0.0476
55;0.0266;0.0398;0.0285
56;0.0305;0.0458;0.0327
57;0.0989;0.1484;0.106
58;0.0342;0.0512;0.0366
59;0.0262;0.0393;0.0281
60;0.0421;0.0631;0.0451
61;0.0395;0.0592;0.0423
62;0.0392;0.0588;0.042
63;0.0269;0.0403;0.0288
64;0.0341;0.0512;0.0366
65;0.0347;0.0521;0.0372
66;0.0246;0.0369;0.0263
67;0.0405;0.0608;0.0434
68;0.0492;0.0737;0.0527
69;0.032;0.048;0.0343
70;0.028;0.042;0.03
71;0.0264;0.0396;0.0283
72;0.0267;0.04;0.0286
73;0.0328;0.0493;0.0352
74;0.0283;0.0425;0.0303
75;0.0315;0.0473;0.0338
76;0.0268;0.0403;0.0288
77;0.0351;0.0526;0.0376
78;0.0518;0.0777;0.0555
79;0.0496;0.0744;0.0532
80;0.0383;0.0574;0.041
81;0.0589;0.0883;0.0631
82;0.0447;0.0671;0.0479
83;0.0301;0.0451;0.0322
84;0.0286;0.0429;0.0306
85;0.0657;0.0985;0.0704
86;0.0454;0.0681;0.0486
87;0.0237;0.0355;0.0254
88;0.0371;0.0557;0.0398
89;0.0259;0.0388;0.0277
90;0.0146;0.0219;0.0157
91;0.0335;0.0502;0.0359
92;0.0314;0.047;0.0336
93;0.022;0.033;0.0235
94;0.0338;0.0507;0.0362
95;0.0297;0.0446;0.0318
96;0.0269;0.0404;0.0289
97;0.0551;0.0826;0.059
98;0.0415;0.0622;0.0444
99;0.0251;0.0377;0.0269
100;0.0437;0.0656;0.0468
101;0.0643;0.0965;0.0689
102;0.0394;0.0591;0.0422
103;0.0603;0.0904;0.0646
104;0.0449;0.0673;0.0481
105;0.0311;0.0467;0.0333
106;0.0412;0.0619;0.0442
107;0.0175;0.0262;0.0187
108;0.0285;0.0428;0.0306
109;0.0257;0.0386;0.0275
110;0.0284;0.0426;0.0304
111;0.026;0.0389;0.0278
112;0.0262;0.0393;0.0281
113;0.0427;0.064;0.0457
114;0.0349;0.0523;0.0374
115;0.0504;0.0756;0.054
116;0.0242;0.0363;0.026
117;0.0307;0.0461;0.0329
118;0.0453;0.068;0.0485
119;0.0283;0.0424;0.0303
120;0.023;0.0344;0.0246
121;0.0367;0.055;0.0393
122;0.0362;0.0543;0.0388
123;0.0283;0.0424;0.0303
124;0.0312;0.0468;0.0334
125;0.0775;0.1162;0.083
126;0.0356;0.0534;0.0382
127;0.0329;0.0494;0.0353
128;0.0441;0.0662;0.0473
129;0.065;0.0976;0.0697
130;0.032;0.048;0.0343
131;0.056;0.0841;0.06
132;0.0454;0.0682;0.0487
133;0.0594;0.0892;0.0637
134;0.0302;0.0452;0.0323
135;0.0424;0.0637;0.0455
136;0.042;0.063;0.045
137;0.0265;0.0398;0.0284
138;0.0735;0.1102;0.0787
139;0.0491;0.0737;0.0526
140;0.04;0.06;0.0428
141;0.0168;0.0252;0.018
142;0.0344;0.0517;0.0369
143;0.0376;0.0564;0.0403
144;0.0291;0.0436;0.0312
145;0.0376;0.0564;0.0403
146;0.0304;0.0456;0.0326
147;0.0347;0.0521;0.0372
148;0.0306;0.046;0.0328
149;0.0367;0.055;0.0393
150;0.031;0.0466;0.0333
151;0.0283;0.0425;0.0303
152;0.0285;0.0427;0.0305
153;0.0262;0.0392;0.028
154;0.0517;0.0776;0.0554
155;0.0282;0.0423;0.0302
156;0.031;0.0464;0.0332
157;0.0324;0.0486;0.0347
158;0.0248;0.0373;0.0266
159;0.0248;0.0372;0.0265
160;0.0704;0.1056;0.0754
161;0.0516;0.0774;0.0553
162;0.0342;0.0513;0.0367
