read;ins;del;sub
1;0.0378;0.0793;0.0613
2;0.033;0.0692;0.0535
3;0.0249;0.0521;0.0402
4;0.0289;0.0605;0.0468
5;0.0197;0.0412;0.0318
6;0.0291;0.061;0.0471
7;0.0338;0.0707;0.0547
8;0.0281;0.0588;0.0454
9;0.0371;0.0776;0.06
10;0.0441;0.0924;0.0714
11;0.0252;0.0527;0.0407
12;0.0329;0.0688;0.0532
13;0.062;0.1299;0.1004
14;0.0242;0.0507;0.0392
15;0.0235;0.0493;0.0381
16;0.0436;0.0913;0.0706
17;0.0246;0.0516;0.0399
18;0.0384;0.0805;0.0622
19;0.0357;0.0748;0.0578
20;0.0254;0.0533;0.0412
21;0.0441;0.0924;0.0714
22;0.0362;0.0759;0.0586
23;0.0321;0.0673;0.052
24;0.022;0.0461;0.0356
25;0.0269;0.0563;0.0435
26;0.0246;0.0516;0.0398
27;0.0317;0.0664;0.0513
28;0.0327;0.0684;0.0529
29;0.0273;0.0572;0.0442
30;0.0372;0.078;0.0603
31;0.02;0.0419;0.0324
32;0.0489;0.1025;0.0792
33;0.0334;0.07;0.0541
34;0.0442;0.0926;0.0716
35;0.0294;0.0617;0.0477
36;0.0308;0.0645;0.0499
37;0.023;0.0482;0.0372
38;0.0186;0.039;0.0301
39;0.0218;0.0457;0.0353
40;0.03;0.0628;0.0485
41;0.0323;0.0677;0.0523
42;0.0196;0.0411;0.0317
43;0.0335;0.0703;0.0543
44;0.0223;0.0468;0.0361
45;0.0247;0.0517;0.0399
46;0.0344;0.0721;0.0557
47;0.0273;0.0572;0.0442
48;0.0358;0.075;0.058
49;0.0439;0.092;0.0711
50;0.0329;0.069;0.0533
51;0.031;0.065;0.0502
52;0.0183;0.0383;0.0296
53;0.0263;0.0551;0.0426
54;0.0249;0.0523;0.0404
55;0.0328;0.0687;0.0531
56;0.0396;0.083;0.0641
57;0.0295;0.0618;0.0478
58;0.0331;0.0693;0.0536
59;0.0335;0.0702;0.0542
60;0.0419;0.0878;0.0678
61;0.0188;0.0394;0.0304
62;0.0207;0.0433;0.0335
63;0.0331;0.0693;0.0535
64;0.0199;0.0417;0.0322
65;0.0226;0.0474;0.0366
66;0.0255;0.0533;0.0412
67;0.0229;0.048;0.0371
68;0.0312;0.0653;0.0505
69;0.0284;0.0595;0.046
70;0.0289;0.0605;0.0468
71;0.0271;0.0567;0.0438
72;0.0231;0.0484;0.0374
73;0.0268;0.0561;0.0433
74;0.029;0.0607;0.0469
75;0.0342;0.0718;0.0554
76;0.0278;0.0583;0.0451
77;0.0259;0.0542;0.0419
78;0.04;0.0837;0.0647
79;0.0243;0.0508;0.0393
80;0.0342;0.0716;0.0553
81;0.0269;0.0563;0.0435
82;0.0399;0.0835;0.0645
83;0.0297;0.0623;0.0481
84;0.0256;0.0536;0.0415
85;0.0293;0.0614;0.0474
86;0.0349;0.0731;0.0565
87;0.0259;0.0542;0.0419
88;0.042;0.0879;0.0679
89;0.0484;0.1014;0.0783
90;0.0358;0.0751;0.058
91;0.0319;0.0668;0.0516
92;0.033;0.0692;0.0534
93;0.027;0.0565;0.0436
94;0.028;0.0586;0.0453
95;0.0385;0.0807;0.0623
96;0.0218;0.0458;0.0354
97;0.0316;0.0662;0.0511
98;0.0435;0.0912;0.0704
99;0.0384;0.0805;0.0622
100;0.0222;0.0464;0.0359
101;0.0228;0.0478;0.037
102;0.027;0.0565;0.0437
103;0.0254;0.0532;0.0411
104;0.0322;0.0675;0.0521
105;0.0305;0.0639;0.0494
106;0.0354;0.0741;0.0572
107;0.0281;0.059;0.0456
108;0.0236;0.0494;0.0382
109;0.0274;0.0575;0.0444
110;0.0249;0.0522;0.0404
111;0.0374;0.0783;0.0605
112;0.0349;0.073;0.0564
113;0.0272;0.057;0.044
114;0.0414;0.0868;0.067
115;0.026;0.0546;0.0422
116;0.0309;0.0648;0.0501
117;0.0306;0.0641;0.0495
118;0.0312;0.0655;0.0506
119;0.0272;0.0571;0.0441
120;0.0264;0.0552;0.0427
121;0.0384;0.0805;0.0622
122;0.0405;0.0848;0.0655
123;0.0281;0.0589;0.0455
124;0.0299;0.0627;0.0485
125;0.0361;0.0756;0.0585
126;0.0223;0.0468;0.0362
127;0.0199;0.0416;0.0322
128;0.033;0.0691;0.0534
129;0.0242;0.0508;0.0392
130;0.0356;0.0745;0.0576
131;0.027;0.0567;0.0438
132;0.0426;0.0892;0.0689
133;0.0256;0.0537;0.0415
134;0.0342;0.0716;0.0553
135;0.0315;0.066;0.051
136;0.0317;0.0664;0.0513
137;0.0348;0.073;0.0564
138;0.0251;0.0526;0.0407
139;0.0377;0.079;0.0611
140;0.0239;0.05;0.0387
141;0.0226;0.0473;0.0366
142;0.0192;0.0402;0.031
143;0.0371;0.0777;0.06
144;0.0426;0.0893;0.069
145;0.0343;0.0719;0.0556
146;0.0315;0.066;0.051
147;0.0356;0.0747;0.0577
